sourceOccurrenceId,sourceTaxonId,sourceTaxonName,sourceTaxonKingdomName,sourceTaxonPhylumName,sourceTaxonClassName,sourceTaxonOrderName,sourceTaxonFamilyName,sourceTaxonGenusName,sourceTaxonSpecificEpithetName,sourceTaxonSubspecificEpithetName,sourceBodyPartId,sourceBodyPartName,sourceLifeStageId,sourceLifeStageName,sourcePhysiologicalStateId,sourcePhysiologicalStateName,interactionTypeId,interactionTypeName,targetOccurrenceId,targetTaxonId,targetTaxonName,targetTaxonKingdomName,targetTaxonPhylumName,targetTaxonClassName,targetTaxonOrderName,targetTaxonFamilyName,targetTaxonGenusName,targetTaxonSpecificEpithetName,targetTaxonSubspecificEpithetName,targetBodyPartId,targetBodyPartName,targetLifeStageId,targetLifeStageName,targetPhysiologicalStateId,targetPhysiologicalStateName,habitatId,habitatName,localityId,localityName,decimalLatitude,decimalLongitude,depth,altitude,observationDateTime,referenceDoi,referenceUrl,referenceCitation
,Q15487737,Desmodium uncinatum,Chloroplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,,,,,,,,,RO_0002555,allelopathOf,,Q3500415,Striga hermonthica,Chloroplastida,Streptophyta,Magnoliopsida,Lamiales,Orobanchaceae,Striga,,,,,,,,,,field plots,,"Mbita, Kenya",-0.4166666667,34.2,,,"Long and short rainy seasons, 2014",10.1016/j.phytochem.2015.06.026,,"Hooper AM, Caulfield JC, Hao B, Pickett JA, Midega CAO, Khan ZR (2015). Isolation and identification of Desmodium root exudates from drought tolerant species used as intercrops against Striga hermonthica. Phytochemistry,117:380-387"
,Q15240093,Desmodium intortum,Chloroplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,,,,,,,,,RO_0002555,allelopathOf,,Q3500415,Striga hermonthica,Chloroplastida,Streptophyta,Magnoliopsida,Lamiales,Orobanchaceae,Striga,,,,,,,,,,field plots,,"Mbita, Kenya",-0.4166666667,34.2,,,"Long and short rainy seasons, 2014",10.1016/j.phytochem.2015.06.026,,"Hooper AM, Caulfield JC, Hao B, Pickett JA, Midega CAO, Khan ZR (2015). Isolation and identification of Desmodium root exudates from drought tolerant species used as intercrops against Striga hermonthica. Phytochemistry,117:380-387"
,Q2717285,Desmodium incanum,Chloroplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,,,,,,,,,RO_0002555,allelopathOf,,Q3500415,Striga hermonthica,Chloroplastida,Streptophyta,Magnoliopsida,Lamiales,Orobanchaceae,Striga,,,,,,,,,,field plots,,"Mbita, Kenya",-0.4166666667,34.2,,,"Long and short rainy seasons, 2014",10.1016/j.phytochem.2015.06.026,,"Hooper AM, Caulfield JC, Hao B, Pickett JA, Midega CAO, Khan ZR (2015). Isolation and identification of Desmodium root exudates from drought tolerant species used as intercrops against Striga hermonthica. Phytochemistry,117:380-387"
,Q15487109,Desmodium ramosissimum,Chloroplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,,,,,,,,,RO_0002555,allelopathOf,,Q3500415,Striga hermonthica,Chloroplastida,Streptophyta,Magnoliopsida,Lamiales,Orobanchaceae,Striga,,,,,,,,,,field plots,,"Mbita, Kenya",-0.4166666667,34.2,,,"Long and short rainy seasons, 2014",10.1016/j.phytochem.2015.06.026,,"Hooper AM, Caulfield JC, Hao B, Pickett JA, Midega CAO, Khan ZR (2015). Isolation and identification of Desmodium root exudates from drought tolerant species used as intercrops against Striga hermonthica. Phytochemistry,117:380-387"
,Q21258011,Desmodium repandum,Chloroplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,,,,,,,,,RO_0002555,allelopathOf,,Q3500415,Striga hermonthica,Chloroplastida,Streptophyta,Magnoliopsida,Lamiales,Orobanchaceae,Striga,,,,,,,,,,field plots,,"Mbita, Kenya",-0.4166666667,34.2,,,"Long and short rainy seasons, 2014",10.1016/j.phytochem.2015.06.026,,"Hooper AM, Caulfield JC, Hao B, Pickett JA, Midega CAO, Khan ZR (2015). Isolation and identification of Desmodium root exudates from drought tolerant species used as intercrops against Striga hermonthica. Phytochemistry,117:380-387"
,Q15487737,Desmodium uncinatum,Chloroplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,,,,,,,,,RO_0002555,allelopathOf,,Q12111,Sorghum,Chloroplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Sorghum,,,,,,,,,,field plots,,"Mbita, Kenya",-0.4166666667,34.2,,,"Long and short rainy seasons, 2014",10.1016/j.phytochem.2015.06.026,,"Hooper AM, Caulfield JC, Hao B, Pickett JA, Midega CAO, Khan ZR (2015). Isolation and identification of Desmodium root exudates from drought tolerant species used as intercrops against Striga hermonthica. Phytochemistry,117:380-387"
,Q15240093,Desmodium intortum,Chloroplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,,,,,,,,,RO_0002555,allelopathOf,,Q12111,Sorghum,Chloroplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Sorghum,,,,,,,,,,field plots,,"Mbita, Kenya",-0.4166666667,34.2,,,"Long and short rainy seasons, 2014",10.1016/j.phytochem.2015.06.026,,"Hooper AM, Caulfield JC, Hao B, Pickett JA, Midega CAO, Khan ZR (2015). Isolation and identification of Desmodium root exudates from drought tolerant species used as intercrops against Striga hermonthica. Phytochemistry,117:380-387"
,Q2717285,Desmodium incanum,Chloroplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,,,,,,,,,RO_0002555,allelopathOf,,Q12111,Sorghum,Chloroplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Sorghum,,,,,,,,,,field plots,,"Mbita, Kenya",-0.4166666667,34.2,,,"Long and short rainy seasons, 2014",10.1016/j.phytochem.2015.06.026,,"Hooper AM, Caulfield JC, Hao B, Pickett JA, Midega CAO, Khan ZR (2015). Isolation and identification of Desmodium root exudates from drought tolerant species used as intercrops against Striga hermonthica. Phytochemistry,117:380-387"
,Q15487109,Desmodium ramosissimum,Chloroplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,,,,,,,,,RO_0002555,allelopathOf,,Q12111,Sorghum,Chloroplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Sorghum,,,,,,,,,,field plots,,"Mbita, Kenya",-0.4166666667,34.2,,,"Long and short rainy seasons, 2014",10.1016/j.phytochem.2015.06.026,,"Hooper AM, Caulfield JC, Hao B, Pickett JA, Midega CAO, Khan ZR (2015). Isolation and identification of Desmodium root exudates from drought tolerant species used as intercrops against Striga hermonthica. Phytochemistry,117:380-387"
,Q21258011,Desmodium repandum,Chloroplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,,,,,,,,,RO_0002555,allelopathOf,,Q12111,Sorghum,Chloroplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Sorghum,,,,,,,,,,field plots,,"Mbita, Kenya",-0.4166666667,34.2,,,"Long and short rainy seasons, 2014",10.1016/j.phytochem.2015.06.026,,"Hooper AM, Caulfield JC, Hao B, Pickett JA, Midega CAO, Khan ZR (2015). Isolation and identification of Desmodium root exudates from drought tolerant species used as intercrops against Striga hermonthica. Phytochemistry,117:380-387"
,Q3500415,Striga hermonthica,Chloroplastida,Streptophyta,Magnoliopsida,Lamiales,Orobanchaceae,Striga,,,,,,,,,RO_0002236,rootParasiteOf,,Q12111,Sorghum,Chloroplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Sorghum,,,,,,,,,,field plots,,"Mbita, Kenya",-0.4166666667,34.2,,,"Long and short rainy seasons, 2014",10.1016/j.phytochem.2015.06.026,,"Hooper AM, Caulfield JC, Hao B, Pickett JA, Midega CAO, Khan ZR (2015). Isolation and identification of Desmodium root exudates from drought tolerant species used as intercrops against Striga hermonthica. Phytochemistry,117:380-387"
,Q15487737,Desmodium uncinatum,Chloroplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,,,,,,,,,RO_0002555,allelopathOf,,Q3500415,Striga hermonthica,Chloroplastida,Streptophyta,Magnoliopsida,Lamiales,Orobanchaceae,Striga,,,,,,,,,,field plots,,"Mbita, Kenya",-0.4166666667,34.2,,1200 m,long rainy seasons (March–August) of 2001–2004,10.1016/j.cropro.2006.01.008,,"Khan ZR, Pickett JA, Wadhams LJ, Hassanali A, Midega CAO (2006). Combined control of Striga hermonthica and stemborers by maize–Desmodium spp. Intercrops. Crop Protection, 25:989-995"
,Q15240093,Desmodium intortum,Chloroplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,,,,,,,,,RO_0002555,allelopathOf,,Q3500415,Striga hermonthica,Chloroplastida,Streptophyta,Magnoliopsida,Lamiales,Orobanchaceae,Striga,,,,,,,,,,field plots,,"Mbita, Kenya",-0.4166666667,34.2,,1200 m,long rainy seasons (March–August) of 2001–2004,10.1016/j.cropro.2006.01.008,,"Khan ZR, Pickett JA, Wadhams LJ, Hassanali A, Midega CAO (2006). Combined control of Striga hermonthica and stemborers by maize–Desmodium spp. Intercrops. Crop Protection, 25:989-995"
,Q15485786,Desmodium pringlei,Chloroplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,,,,,,,,,RO_0002555,allelopathOf,,Q3500415,Striga hermonthica,Chloroplastida,Streptophyta,Magnoliopsida,Lamiales,Orobanchaceae,Striga,,,,,,,,,,field plots,,"Mbita, Kenya",-0.4166666667,34.2,,1200 m,long rainy seasons (March–August) of 2001–2004,10.1016/j.cropro.2006.01.008,,"Khan ZR, Pickett JA, Wadhams LJ, Hassanali A, Midega CAO (2006). Combined control of Striga hermonthica and stemborers by maize–Desmodium spp. Intercrops. Crop Protection, 25:989-995"
,Q15486256,Desmodium sandwicense,Chloroplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,,,,,,,,,RO_0002555,allelopathOf,,Q3500415,Striga hermonthica,Chloroplastida,Streptophyta,Magnoliopsida,Lamiales,Orobanchaceae,Striga,,,,,,,,,,field plots,,"Mbita, Kenya",-0.4166666667,34.2,,1200 m,long rainy seasons (March–August) of 2001–2004,10.1016/j.cropro.2006.01.008,,"Khan ZR, Pickett JA, Wadhams LJ, Hassanali A, Midega CAO (2006). Combined control of Striga hermonthica and stemborers by maize–Desmodium spp. Intercrops. Crop Protection, 25:989-995"
,Q15487737,Desmodium uncinatum,Chloroplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,,,,,,,,,RO_0002555,allelopathOf,,NCBI:4577,Zea mays,Chloroplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,,,,,,,,,,field plots,,"Mbita, Kenya",-0.4166666667,34.2,,1200 m,long rainy seasons (March–August) of 2001–2004,10.1016/j.cropro.2006.01.008,,"Khan ZR, Pickett JA, Wadhams LJ, Hassanali A, Midega CAO (2006). Combined control of Striga hermonthica and stemborers by maize–Desmodium spp. Intercrops. Crop Protection, 25:989-995"
,Q15240093,Desmodium intortum,Chloroplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,,,,,,,,,RO_0002555,allelopathOf,,NCBI:4577,Zea mays,Chloroplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,,,,,,,,,,field plots,,"Mbita, Kenya",-0.4166666667,34.2,,1200 m,long rainy seasons (March–August) of 2001–2004,10.1016/j.cropro.2006.01.008,,"Khan ZR, Pickett JA, Wadhams LJ, Hassanali A, Midega CAO (2006). Combined control of Striga hermonthica and stemborers by maize–Desmodium spp. Intercrops. Crop Protection, 25:989-995"
,Q15485786,Desmodium pringlei,Chloroplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,,,,,,,,,RO_0002555,allelopathOf,,NCBI:4577,Zea mays,Chloroplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,,,,,,,,,,field plots,,"Mbita, Kenya",-0.4166666667,34.2,,1200 m,long rainy seasons (March–August) of 2001–2004,10.1016/j.cropro.2006.01.008,,"Khan ZR, Pickett JA, Wadhams LJ, Hassanali A, Midega CAO (2006). Combined control of Striga hermonthica and stemborers by maize–Desmodium spp. Intercrops. Crop Protection, 25:989-995"
,Q15486256,Desmodium sandwicense,Chloroplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,,,,,,,,,RO_0002555,allelopathOf,,NCBI:4577,Zea mays,Chloroplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,,,,,,,,,,field plots,,"Mbita, Kenya",-0.4166666667,34.2,,1200 m,long rainy seasons (March–August) of 2001–2004,10.1016/j.cropro.2006.01.008,,"Khan ZR, Pickett JA, Wadhams LJ, Hassanali A, Midega CAO (2006). Combined control of Striga hermonthica and stemborers by maize–Desmodium spp. Intercrops. Crop Protection, 25:989-995"
,Q3500415,Striga hermonthica,Chloroplastida,Streptophyta,Magnoliopsida,Lamiales,Orobanchaceae,Striga,,,,,,,,,RO_0002236,rootParasiteOf,,NCBI:4577,Zea mays,Chloroplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,,,,,,,,,,field plots,,"Mbita, Kenya",-0.4166666667,34.2,,1200 m,long rainy seasons (March–August) of 2001–2004,10.1016/j.cropro.2006.01.008,,"Khan ZR, Pickett JA, Wadhams LJ, Hassanali A, Midega CAO (2006). Combined control of Striga hermonthica and stemborers by maize–Desmodium spp. Intercrops. Crop Protection, 25:989-995"
,Q15240093,Desmodium intortum,Chloroplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,,,,,,,,,RO_0002555,allelopathOf,,Q2356249,Striga asiatica,Chloroplastida,Streptophyta,Magnoliopsida,Lamiales,Orobanchaceae,Striga,,,,,,,,,,pot experiments,,"Pretoria, South Africa",-25.75,28.21666667,,1372 m,,,,"Reinhardt CF, Tesfamichael N (2011). Nitrogen in combination with Desmodium intortum effectively suppress Striga asiatica in a sorghum-Desmodium intercropping system. Journal of Agriculture and Rural Development in the Tropics and Subtropics, 112"
,Q15240093,Desmodium intortum,Chloroplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,,,,,,,,,RO_0002555,allelopathOf,,Q12111,Sorghum,Chloroplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Sorghum,,,,,,,,,,pot experiments,,"Pretoria, South Africa",-25.75,28.21666667,,1372 m,,,,"Reinhardt CF, Tesfamichael N (2011). Nitrogen in combination with Desmodium intortum effectively suppress Striga asiatica in a sorghum-Desmodium intercropping system. Journal of Agriculture and Rural Development in the Tropics and Subtropics, 112"
,Q2356249,Striga asiatica,Chloroplastida,Streptophyta,Magnoliopsida,Lamiales,Orobanchaceae,Striga,,,,,,,,,RO_0002236,rootParasiteOf,,Q12111,Sorghum,Chloroplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Sorghum,,,,,,,,,,pot experiments,,"Pretoria, South Africa",-25.75,28.21666667,,1372 m,,,,"Reinhardt CF, Tesfamichael N (2011). Nitrogen in combination with Desmodium intortum effectively suppress Striga asiatica in a sorghum-Desmodium intercropping system. Journal of Agriculture and Rural Development in the Tropics and Subtropics, 112"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q15240093,Desmodium intortum,Chloroplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,,,,,,,,,RO_0002555,allelopathOf,,NCBI:4577,Zea mays L.,Chloroplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,,,,,,,,,,pots in screen houses ,,"Mbita, Kenya",-0.4166666667,34.2,,1137 m,,10.1002/ps.6261,,"Scheidegger, L., Niassy, S., Midega, C., Chiriboga, X., Delabays, N., Lefort, F., Zürcher, R., Hailu, G., Khan, Z. and Subramanian, S. (2021), The role of Desmodium intortum, Brachiaria sp. and Phaseolus vulgaris in the management of fall armyworm Spodoptera frugiperda (J. E. Smith) in maize cropping systems in Africa. Pest Manag Sci, 77: 2350-2357."
,Q15240093,Desmodium intortum,Chloroplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,,,,,,,,,RO_0002555,allelopathOf,,Q2715913,Spodoptera frugiperda ,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Spodoptera,,,,,,,,,,pots in screen houses ,,"Mbita, Kenya",-0.4166666667,34.2,,1137 m,,10.1002/ps.6261,,"Scheidegger, L., Niassy, S., Midega, C., Chiriboga, X., Delabays, N., Lefort, F., Zürcher, R., Hailu, G., Khan, Z. and Subramanian, S. (2021), The role of Desmodium intortum, Brachiaria sp. and Phaseolus vulgaris in the management of fall armyworm Spodoptera frugiperda (J. E. Smith) in maize cropping systems in Africa. Pest Manag Sci, 77: 2350-2357."
,Q15509403,Brachiaria ruziziensis,Chloroplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Urochloa,,,,,,,,,RO_0002555,allelopathOf,,NCBI:4577,Zea mays L.,Chloroplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,,,,,,,,,,pots in screen houses ,,"Mbita, Kenya",-0.4166666667,34.2,,1137 m,,10.1002/ps.6261,,"Scheidegger, L., Niassy, S., Midega, C., Chiriboga, X., Delabays, N., Lefort, F., Zürcher, R., Hailu, G., Khan, Z. and Subramanian, S. (2021), The role of Desmodium intortum, Brachiaria sp. and Phaseolus vulgaris in the management of fall armyworm Spodoptera frugiperda (J. E. Smith) in maize cropping systems in Africa. Pest Manag Sci, 77: 2350-2357."
,Q15509403,Brachiaria ruziziensis,Chloroplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Urochloa,,,,,,,,,RO_0002555,allelopathOf,,Q2715913,Spodoptera frugiperda ,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Spodoptera,,,,,,,,,,pots in screen houses ,,"Mbita, Kenya",-0.4166666667,34.2,,1137 m,,10.1002/ps.6261,,"Scheidegger, L., Niassy, S., Midega, C., Chiriboga, X., Delabays, N., Lefort, F., Zürcher, R., Hailu, G., Khan, Z. and Subramanian, S. (2021), The role of Desmodium intortum, Brachiaria sp. and Phaseolus vulgaris in the management of fall armyworm Spodoptera frugiperda (J. E. Smith) in maize cropping systems in Africa. Pest Manag Sci, 77: 2350-2357."
,Q15509798,Brachiaria decumbens,Chloroplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Urochloa,,,,,,,,,RO_0002555,allelopathOf,,NCBI:4577,Zea mays L.,Chloroplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,,,,,,,,,,pots in screen houses ,,"Mbita, Kenya",-0.4166666667,34.2,,1137 m,,10.1002/ps.6261,,"Scheidegger, L., Niassy, S., Midega, C., Chiriboga, X., Delabays, N., Lefort, F., Zürcher, R., Hailu, G., Khan, Z. and Subramanian, S. (2021), The role of Desmodium intortum, Brachiaria sp. and Phaseolus vulgaris in the management of fall armyworm Spodoptera frugiperda (J. E. Smith) in maize cropping systems in Africa. Pest Manag Sci, 77: 2350-2357."
,Q15509798,Brachiaria decumbens,Chloroplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Urochloa,,,,,,,,,RO_0002555,allelopathOf,,Q2715913,Spodoptera frugiperda ,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Spodoptera,,,,,,,,,,pots in screen houses ,,"Mbita, Kenya",-0.4166666667,34.2,,1137 m,,10.1002/ps.6261,,"Scheidegger, L., Niassy, S., Midega, C., Chiriboga, X., Delabays, N., Lefort, F., Zürcher, R., Hailu, G., Khan, Z. and Subramanian, S. (2021), The role of Desmodium intortum, Brachiaria sp. and Phaseolus vulgaris in the management of fall armyworm Spodoptera frugiperda (J. E. Smith) in maize cropping systems in Africa. Pest Manag Sci, 77: 2350-2357."
,Q10887953,Brachiaria brizantha,Chloroplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Urochloa,,,,,,,,,RO_0002555,allelopathOf,,NCBI:4577,Zea mays L.,Chloroplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,,,,,,,,,,pots in screen houses ,,"Mbita, Kenya",-0.4166666667,34.2,,1137 m,,10.1002/ps.6261,,"Scheidegger, L., Niassy, S., Midega, C., Chiriboga, X., Delabays, N., Lefort, F., Zürcher, R., Hailu, G., Khan, Z. and Subramanian, S. (2021), The role of Desmodium intortum, Brachiaria sp. and Phaseolus vulgaris in the management of fall armyworm Spodoptera frugiperda (J. E. Smith) in maize cropping systems in Africa. Pest Manag Sci, 77: 2350-2357."
,Q10887953,Brachiaria brizantha,Chloroplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Urochloa,,,,,,,,,RO_0002555,allelopathOf,,Q2715913,Spodoptera frugiperda ,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Spodoptera,,,,,,,,,,pots in screen houses ,,"Mbita, Kenya",-0.4166666667,34.2,,1137 m,,10.1002/ps.6261,,"Scheidegger, L., Niassy, S., Midega, C., Chiriboga, X., Delabays, N., Lefort, F., Zürcher, R., Hailu, G., Khan, Z. and Subramanian, S. (2021), The role of Desmodium intortum, Brachiaria sp. and Phaseolus vulgaris in the management of fall armyworm Spodoptera frugiperda (J. E. Smith) in maize cropping systems in Africa. Pest Manag Sci, 77: 2350-2357."
,Q42339,Phaseolus vulgaris L. var. Roscoco,Chloroplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus,,,,,,,,,RO_0002555,allelopathOf,,NCBI:4577,Zea mays L.,Chloroplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,,,,,,,,,,pots in screen houses ,,"Mbita, Kenya",-0.4166666667,34.2,,1137 m,,10.1002/ps.6261,,"Scheidegger, L., Niassy, S., Midega, C., Chiriboga, X., Delabays, N., Lefort, F., Zürcher, R., Hailu, G., Khan, Z. and Subramanian, S. (2021), The role of Desmodium intortum, Brachiaria sp. and Phaseolus vulgaris in the management of fall armyworm Spodoptera frugiperda (J. E. Smith) in maize cropping systems in Africa. Pest Manag Sci, 77: 2350-2357."
,Q42339,Phaseolus vulgaris L. var. Roscoco,Chloroplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus,,,,,,,,,RO_0002555,allelopathOf,,Q2715913,Spodoptera frugiperda ,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Spodoptera,,,,,,,,,,pots in screen houses ,,"Mbita, Kenya",-0.4166666667,34.2,,1137 m,,10.1002/ps.6261,,"Scheidegger, L., Niassy, S., Midega, C., Chiriboga, X., Delabays, N., Lefort, F., Zürcher, R., Hailu, G., Khan, Z. and Subramanian, S. (2021), The role of Desmodium intortum, Brachiaria sp. and Phaseolus vulgaris in the management of fall armyworm Spodoptera frugiperda (J. E. Smith) in maize cropping systems in Africa. Pest Manag Sci, 77: 2350-2357."
,Q2715913,Spodoptera frugiperda ,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Spodoptera,,,,,,,,,RO_0002624,laysEggsIn,,NCBI:4577,Zea mays L.,Chloroplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,,,,,,,,,,pots in screen houses ,,"Mbita, Kenya",-0.4166666667,34.2,,1137 m,,10.1002/ps.6261,,"Scheidegger, L., Niassy, S., Midega, C., Chiriboga, X., Delabays, N., Lefort, F., Zürcher, R., Hailu, G., Khan, Z. and Subramanian, S. (2021), The role of Desmodium intortum, Brachiaria sp. and Phaseolus vulgaris in the management of fall armyworm Spodoptera frugiperda (J. E. Smith) in maize cropping systems in Africa. Pest Manag Sci, 77: 2350-2357."
